Car_Body,Car_Name,Year,Engine,Transmission,Fueltype,Mileage,Price
Hatchback,Move,2019,660,Automatic,Petrol,77450,3650000
Hatchback,Move,2019,660,Automatic,Petrol,47499,3850000
Hatchback,Move,2019,660,Automatic,Petrol,69951,3550000
Hatchback,Move,2019,660,Automatic,Petrol,83465,3550000
SUV,Land,2022,3500,Automatic,Petrol,12000,89800000
Hatchback,Vitz,2020,1500,Automatic,Hybrid,42500,6250000
Hatchback,Alto,2020,660,Automatic,Petrol,9500,3400000
Hatchback,Passo,2019,1000,Automatic,Petrol,35588,4290000
Crossover,C-HR,2018,1800,Automatic,Hybrid,76000,8400000
Hatchback,Hustler,2015,660,Automatic,Petrol,62000,2500000
Hatchback,Vitz,2019,996,Automatic,Petrol,51614,4990000
Hatchback,Passo,2020,1000,Automatic,Petrol,19814,4350000
Hatchback,Passo,2019,1000,Automatic,Petrol,33413,4390000
Hatchback,Vitz,2019,1000,Automatic,Petrol,41952,4850000
Hatchback,Vitz,2019,1000,Automatic,Petrol,38784,4950000
Sedan,Corolla,2019,1300,Manual,Petrol,92000,4700000
Hatchback,Vitz,2017,1500,Automatic,Hybrid,31000,5100000
Crossover,Raize,2020,996,Automatic,Petrol,18500,5850000
Hatchback,Vitz,2020,996,Automatic,Petrol,41000,4600000
SUV,Fortuner,2016,2700,Automatic,Petrol,67000,8400000
Hatchback,Move,2019,660,Automatic,Petrol,90000,2375000
Crossover,Vezel,2017,1500,Automatic,Petrol,10500,8475000
Crossover,Vezel,2015,1500,Automatic,Hybrid,100423,4395000
Hatchback,N,2020,660,Automatic,Petrol,10000,3800000
Hatchback,Alto,2020,660,Automatic,Petrol,36000,3695000
Hatchback,Move,2021,660,Automatic,Petrol,26000,3700000
Hatchback,Alto,2021,660,Automatic,Petrol,6535,3970000
Hatchback,Picanto,2019,998,Automatic,Petrol,31000,2650000
Crossover,Vezel,2018,1500,Automatic,Hybrid,59000,8900000
Hatchback,Yaris,2020,996,Automatic,Petrol,38000,5000000
Hatchback,Corolla,2020,2000,Automatic,Hybrid,44000,9700000
Sedan,Prius,2019,1800,Automatic,Hybrid,84000,9100000
Sedan,Prius,2019,1800,Automatic,Hybrid,97000,8995000
Sedan,Benz,2022,1500,Automatic,Petrol,900,45500000
Micro Van,Every,2022,660,Manual,Petrol,72000,2450000
Hatchback,Alto,2021,660,Automatic,Petrol,10750,3850000
Hatchback,Alto,2018,660,Automatic,Petrol,63000,3450000
SUV,X70,2021,1500,Automatic,Petrol,16000,8000000
Hatchback,Vitz,2019,1000,Automatic,Petrol,73131,4250000
MPV,Grand,2021,3470,Automatic,Petrol,10700,15500000
Hatchback,Wagon,2019,660,Automatic,Hybrid,17583,3790000
Hatchback,Dayz,2022,660,Automatic,Petrol,13235,4050000
Hatchback,Dayz,2021,660,Automatic,Hybrid,3600,3950000
Hatchback,Vitz,2019,996,Automatic,Petrol,52851,4650000
Hatchback,Dayz,2020,660,Automatic,Petrol,14252,3890000
Hatchback,Mira,2016,660,Automatic,Petrol,60000,2390000
Crossover,Vezel,2018,1500,Automatic,Hybrid,92633,8190000
SUV,Prado,2016,2700,Automatic,Petrol,55000,22000000
Hatchback,Alto,2020,660,Automatic,Petrol,19219,3690000
Hatchback,Alto,2019,660,Automatic,Petrol,45744,3550000
Hatchback,Vitz,2019,996,Automatic,Petrol,74580,4890000
Crossover,Flair,2020,660,Automatic,Petrol,30934,3500000
Hatchback,Mira,2019,660,Automatic,Petrol,66880,3850000
Hatchback,Passo,2020,1000,Automatic,Petrol,58826,4590000
Hatchback,Passo,2020,1000,Automatic,Petrol,16407,4350000
Hatchback,Passo,2020,1000,Automatic,Petrol,10781,4390000
Hatchback,Alto,2019,660,Automatic,Petrol,79652,3390000
Crossover,Vezel,2022,1496,Automatic,Hybrid,9569,12200000
Hatchback,Mira,2019,660,Automatic,Petrol,62610,3790000
Hatchback,Wagon,2019,660,Automatic,Hybrid,71281,3990000
Hatchback,Wagon,2019,660,Automatic,Hybrid,64085,3850000
